YEAR,MO,kt_avg,T2M_avg,WS10M_avg,State,kt_max,T2M_max,WS10M_max,kt_min,T2M_min,WS10M_min,unqid
2000,2,0.446508621,5.239956897,4.034568966,Iowa,0.78,12.31,9,0.12,0,1.69,2000_2_Iowa
2000,2,0.532824302,5.595287356,4.062561576,Kansas,0.78,15.2,8.02,0.09,0,1.31,2000_2_Kansas
2000,2,0.461586207,5.373655172,3.09,Kentucky,0.78,16.02,6.13,0.03,0.01,0.93,2000_2_Kentucky
2000,2,0.527112069,13.22586207,2.781422414,Louisiana,0.78,21.03,5.16,0.02,1.53,0.84,2000_2_Louisiana
2000,2,0.526465517,9.581695402,3.543189655,Maine,0.78,21.5,8.9,0.09,0.03,1.13,2000_2_Maine
2000,2,0.499482759,4.952586207,3.462413793,Maryland,0.76,13.48,6.74,0.08,0.05,1.27,2000_2_Maryland
2000,2,0.491034483,4.763793103,4.39137931,Massachusetts,0.78,13.14,10.82,0.08,0.13,1.22,2000_2_Massachusetts
2000,2,0.440574713,8.571,3.257804598,Michigan,0.78,22.73,7.98,0.09,0.03,1.07,2000_2_Michigan
2000,2,0.490651341,8.750868455,3.256079183,Minnesota,0.77,24.6,8.13,0.1,0.01,1.26,2000_2_Minnesota
2000,2,0.568355438,11.00206897,2.747506631,Mississippi,0.78,20.19,4.97,0.05,0.15,1.02,2000_2_Mississippi
2000,2,0.463938294,5.135989111,3.486098004,Missouri,0.78,16.2,6.57,0.06,0.02,1.46,2000_2_Missouri
2000,2,0.495318302,6.072009284,3.546604775,Montana,0.77,28.44,8.85,0.15,0.01,0.73,2000_2_Montana
2000,2,0.493763118,4.327286357,4.466941529,Nebraska,0.77,12.61,9.52,0.08,0.02,0.71,2000_2_Nebraska
2000,2,0.489489144,2.00302682,3.684904215,Nevada,0.81,10.06,10.52,0.15,0.01,0.68,2000_2_Nevada
2000,2,0.503793103,7.569482759,3.417068966,New Hampshire,0.76,16.38,6.16,0.13,0.13,1.63,2000_2_New Hampshire
