,0
712,"39.1,-92.6"
713,"40.1,-92.6"
714,"41.1,-92.6"
715,"42.1,-92.6"
716,"43.1,-92.6"
717,"44.1,-92.6"
718,"45.1,-92.6"
719,"46.1,-92.6"
720,"47.1,-92.6"
721,"48.1,-92.6"
722,"29.1,-91.6"
723,"30.1,-91.6"
724,"31.1,-91.6"
725,"32.1,-91.6"
726,"33.1,-91.6"
727,"34.1,-91.6"
728,"35.1,-91.6"
729,"36.1,-91.6"
730,"37.1,-91.6"
731,"38.1,-91.6"
732,"39.1,-91.6"
733,"40.1,-91.6"
734,"41.1,-91.6"
735,"42.1,-91.6"
736,"43.1,-91.6"
737,"44.1,-91.6"
738,"45.1,-91.6"
739,"46.1,-91.6"
740,"47.1,-91.6"
741,"48.1,-91.6"
742,"29.1,-90.6"
743,"30.1,-90.6"
744,"31.1,-90.6"
745,"32.1,-90.6"
746,"33.1,-90.6"
747,"34.1,-90.6"
748,"35.1,-90.6"
749,"36.1,-90.6"
750,"37.1,-90.6"
751,"38.1,-90.6"
752,"39.1,-90.6"
753,"40.1,-90.6"
754,"41.1,-90.6"
755,"42.1,-90.6"
756,"43.1,-90.6"
757,"44.1,-90.6"
758,"45.1,-90.6"
759,"46.1,-90.6"
760,"47.1,-90.6"
761,"48.1,-90.6"
762,"29.1,-89.6"
763,"30.1,-89.6"
764,"31.1,-89.6"
765,"32.1,-89.6"
766,"33.1,-89.6"
767,"34.1,-89.6"
768,"35.1,-89.6"
769,"36.1,-89.6"
770,"37.1,-89.6"
771,"38.1,-89.6"
772,"39.1,-89.6"
773,"40.1,-89.6"
774,"41.1,-89.6"
775,"42.1,-89.6"
776,"43.1,-89.6"
777,"44.1,-89.6"
778,"45.1,-89.6"
779,"46.1,-89.6"
780,"47.1,-89.6"
781,"48.1,-89.6"
782,"29.1,-88.6"
783,"30.1,-88.6"
784,"31.1,-88.6"
785,"32.1,-88.6"
786,"33.1,-88.6"
787,"34.1,-88.6"
788,"35.1,-88.6"
789,"36.1,-88.6"
790,"37.1,-88.6"
791,"38.1,-88.6"
792,"39.1,-88.6"
