Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , Alabama ,2002,2,8006.122, Alabama 20022
Total consumption , natural gas , Alabama ,2002,1,9105.038, Alabama 20021
Total consumption , natural gas , Alabama ,2001,12,6324.297, Alabama 200112
Total consumption , natural gas , Alabama ,2001,11,7007.134, Alabama 200111
Total consumption , natural gas , Alabama ,2001,10,7473.323, Alabama 200110
Total consumption , natural gas , Alabama ,2001,9,7156.691, Alabama 20019
Total consumption , natural gas , Alabama ,2001,8,8891.774, Alabama 20018
Total consumption , natural gas , Alabama ,2001,7,8347.6, Alabama 20017
Total consumption , natural gas , Alabama ,2001,6,6493.276, Alabama 20016
Total consumption , natural gas , Alabama ,2001,5,4650.764, Alabama 20015
Total consumption , natural gas , Alabama ,2001,4,3342.301, Alabama 20014
Total consumption , natural gas , Alabama ,2001,3,3634.43, Alabama 20013
Total consumption , natural gas , Alabama ,2001,2,1855.746, Alabama 20012
Total consumption , natural gas , Alabama ,2001,1,3690.904, Alabama 20011
Total consumption , natural gas , Alaska ,2017,7,1853.277, Alaska 20177
Total consumption , natural gas , Alaska ,2017,6,1103.086, Alaska 20176
Total consumption , natural gas , Alaska ,2017,5,858.849, Alaska 20175
Total consumption , natural gas , Alaska ,2017,4,960.05, Alaska 20174
Total consumption , natural gas , Alaska ,2017,3,1293.773, Alaska 20173
Total consumption , natural gas , Alaska ,2017,2,975.953, Alaska 20172
Total consumption , natural gas , Alaska ,2017,1,2043.765, Alaska 20171
Total consumption , natural gas , Alaska ,2016,12,1753.466, Alaska 201612
Total consumption , natural gas , Alaska ,2016,11,1763.36, Alaska 201611
Total consumption , natural gas , Alaska ,2016,10,1732.323, Alaska 201610
Total consumption , natural gas , Alaska ,2016,9,1952.202, Alaska 20169
Total consumption , natural gas , Alaska ,2016,8,2199.779, Alaska 20168
Total consumption , natural gas , Alaska ,2016,7,2043.8, Alaska 20167
Total consumption , natural gas , Alaska ,2016,6,1755.623, Alaska 20166
Total consumption , natural gas , Alaska ,2016,5,1755.294, Alaska 20165
Total consumption , natural gas , Alaska ,2016,4,1644.933, Alaska 20164
Total consumption , natural gas , Alaska ,2016,3,1745.303, Alaska 20163
Total consumption , natural gas , Alaska ,2016,2,1810.044, Alaska 20162
Total consumption , natural gas , Alaska ,2016,1,2079.934, Alaska 20161
Total consumption , natural gas , Alaska ,2015,12,2635.546, Alaska 201512
Total consumption , natural gas , Alaska ,2015,11,2497.687, Alaska 201511
Total consumption , natural gas , Alaska ,2015,10,2114.113, Alaska 201510
Total consumption , natural gas , Alaska ,2015,9,1845.971, Alaska 20159
Total consumption , natural gas , Alaska ,2015,8,2224.877, Alaska 20158
Total consumption , natural gas , Alaska ,2015,7,2365.909, Alaska 20157
Total consumption , natural gas , Alaska ,2015,6,2474.746, Alaska 20156
Total consumption , natural gas , Alaska ,2015,5,2314.093, Alaska 20155
Total consumption , natural gas , Alaska ,2015,4,2476.949, Alaska 20154
Total consumption , natural gas , Alaska ,2015,3,3043.628, Alaska 20153
Total consumption , natural gas , Alaska ,2015,2,3098.963, Alaska 20152
Total consumption , natural gas , Alaska ,2015,1,3114.11, Alaska 20151
Total consumption , natural gas , Alaska ,2014,12,2937.687, Alaska 201412
Total consumption , natural gas , Alaska ,2014,11,2820.67, Alaska 201411
Total consumption , natural gas , Alaska ,2014,10,2482.187, Alaska 201410
Total consumption , natural gas , Alaska ,2014,9,1955.766, Alaska 20149
Total consumption , natural gas , Alaska ,2014,8,2536.234, Alaska 20148
Total consumption , natural gas , Alaska ,2014,7,2728.068, Alaska 20147
Total consumption , natural gas , Alaska ,2014,6,2866.109, Alaska 20146
Total consumption , natural gas , Alaska ,2014,5,2668.041, Alaska 20145
Total consumption , natural gas , Alaska ,2014,4,2512.157, Alaska 20144
Total consumption , natural gas , Alaska ,2014,3,2734.137, Alaska 20143
Total consumption , natural gas , Alaska ,2014,2,2738.187, Alaska 20142
Total consumption , natural gas , Alaska ,2014,1,2964.757, Alaska 20141
Total consumption , natural gas , Alaska ,2013,12,3254.984, Alaska 201312
Total consumption , natural gas , Alaska ,2013,11,2917.25, Alaska 201311
Total consumption , natural gas , Alaska ,2013,10,2457.423, Alaska 201310
Total consumption , natural gas , Alaska ,2013,9,2531.25, Alaska 20139
Total consumption , natural gas , Alaska ,2013,8,2588.933, Alaska 20138
Total consumption , natural gas , Alaska ,2013,7,2711.427, Alaska 20137
Total consumption , natural gas , Alaska ,2013,6,2595.711, Alaska 20136
Total consumption , natural gas , Alaska ,2013,5,2729.764, Alaska 20135
Total consumption , natural gas , Alaska ,2013,4,2754.524, Alaska 20134
Total consumption , natural gas , Alaska ,2013,3,2971.092, Alaska 20133
Total consumption , natural gas , Alaska ,2013,2,2827.025, Alaska 20132
Total consumption , natural gas , Alaska ,2013,1,3604.302, Alaska 20131
Total consumption , natural gas , Alaska ,2012,12,2989.332, Alaska 201212
Total consumption , natural gas , Alaska ,2012,11,3573.405, Alaska 201211
Total consumption , natural gas , Alaska ,2012,10,3306.671, Alaska 201210
Total consumption , natural gas , Alaska ,2012,9,2969.7, Alaska 20129
Total consumption , natural gas , Alaska ,2012,8,3267.99, Alaska 20128
Total consumption , natural gas , Alaska ,2012,7,3103.787, Alaska 20127
Total consumption , natural gas , Alaska ,2012,6,2928.415, Alaska 20126
Total consumption , natural gas , Alaska ,2012,5,3187.509, Alaska 20125
Total consumption , natural gas , Alaska ,2012,4,3411.729, Alaska 20124
Total consumption , natural gas , Alaska ,2012,3,3518.45, Alaska 20123
Total consumption , natural gas , Alaska ,2012,2,3468.508, Alaska 20122
Total consumption , natural gas , Alaska ,2012,1,4032.914, Alaska 20121
Total consumption , natural gas , Alaska ,2011,12,3736.725, Alaska 201112
Total consumption , natural gas , Alaska ,2011,11,3579.29, Alaska 201111
Total consumption , natural gas , Alaska ,2011,10,3366.621, Alaska 201110
Total consumption , natural gas , Alaska ,2011,9,3465.481, Alaska 20119
Total consumption , natural gas , Alaska ,2011,8,3407.279, Alaska 20118
Total consumption , natural gas , Alaska ,2011,7,3206.087, Alaska 20117
Total consumption , natural gas , Alaska ,2011,6,3135.312, Alaska 20116
Total consumption , natural gas , Alaska ,2011,5,3278.836, Alaska 20115
Total consumption , natural gas , Alaska ,2011,4,3703.346, Alaska 20114
Total consumption , natural gas , Alaska ,2011,3,3563.994, Alaska 20113
Total consumption , natural gas , Alaska ,2011,2,3362.66, Alaska 20112
Total consumption , natural gas , Alaska ,2011,1,3932.128, Alaska 20111
Total consumption , natural gas , Alaska ,2010,12,3628.435, Alaska 201012
Total consumption , natural gas , Alaska ,2010,11,3009.672, Alaska 201011
Total consumption , natural gas , Alaska ,2010,10,3517.043, Alaska 201010
Total consumption , natural gas , Alaska ,2010,9,3068.884, Alaska 20109
Total consumption , natural gas , Alaska ,2010,8,3312.31, Alaska 20108
Total consumption , natural gas , Alaska ,2010,7,2981.51, Alaska 20107
Total consumption , natural gas , Alaska ,2010,6,2720.824, Alaska 20106
Total consumption , natural gas , Alaska ,2010,5,3466.81, Alaska 20105
Total consumption , natural gas , Alaska ,2010,4,3583.309, Alaska 20104
Total consumption , natural gas , Alaska ,2010,3,3458.842, Alaska 20103
Total consumption , natural gas , Alaska ,2010,2,3210.127, Alaska 20102
Total consumption , natural gas , Alaska ,2010,1,3774.008, Alaska 20101
Total consumption , natural gas , Alaska ,2009,12,4021.686, Alaska 200912
Total consumption , natural gas , Alaska ,2009,11,3497.033, Alaska 200911
Total consumption , natural gas , Alaska ,2009,10,3222.532, Alaska 200910
Total consumption , natural gas , Alaska ,2009,9,2972.052, Alaska 20099
Total consumption , natural gas , Alaska ,2009,8,2708.461, Alaska 20098
Total consumption , natural gas , Alaska ,2009,7,2980.048, Alaska 20097
Total consumption , natural gas , Alaska ,2009,6,2994.91, Alaska 20096
Total consumption , natural gas , Alaska ,2009,5,2983.472, Alaska 20095
Total consumption , natural gas , Alaska ,2009,4,2884.417, Alaska 20094
Total consumption , natural gas , Alaska ,2009,3,3233.98, Alaska 20093
Total consumption , natural gas , Alaska ,2009,2,2980.694, Alaska 20092
Total consumption , natural gas , Alaska ,2009,1,3599.046, Alaska 20091
Total consumption , natural gas , Alaska ,2008,12,3817.423, Alaska 200812
Total consumption , natural gas , Alaska ,2008,11,3874.983, Alaska 200811
Total consumption , natural gas , Alaska ,2008,10,3725.187, Alaska 200810
Total consumption , natural gas , Alaska ,2008,9,3716.169, Alaska 20089
Total consumption , natural gas , Alaska ,2008,8,3741.343, Alaska 20088
Total consumption , natural gas , Alaska ,2008,7,3702.485, Alaska 20087
Total consumption , natural gas , Alaska ,2008,6,3048.065, Alaska 20086
Total consumption , natural gas , Alaska ,2008,5,3205.441, Alaska 20085
Total consumption , natural gas , Alaska ,2008,4,3195.549, Alaska 20084
Total consumption , natural gas , Alaska ,2008,3,3706.502, Alaska 20083
Total consumption , natural gas , Alaska ,2008,2,3523.219, Alaska 20082
Total consumption , natural gas , Alaska ,2008,1,3942.764, Alaska 20081
