Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , South Carolina ,2005,1,13.807, South Carolina 20051
Total consumption , petroleum coke , South Carolina ,2004,12,15.86, South Carolina 200412
Total consumption , petroleum coke , South Carolina ,2004,11,14.395, South Carolina 200411
Total consumption , petroleum coke , South Carolina ,2004,10,19.035, South Carolina 200410
Total consumption , petroleum coke , South Carolina ,2004,9,14.257, South Carolina 20049
Total consumption , petroleum coke , South Carolina ,2004,8,12.5, South Carolina 20048
Total consumption , petroleum coke , South Carolina ,2004,7,18.8, South Carolina 20047
Total consumption , petroleum coke , South Carolina ,2004,6,21.7, South Carolina 20046
Total consumption , petroleum coke , South Carolina ,2004,5,5.6, South Carolina 20045
Total consumption , petroleum coke , South Carolina ,2004,4,7.2, South Carolina 20044
Total consumption , petroleum coke , South Carolina ,2004,3,11.7, South Carolina 20043
Total consumption , petroleum coke , South Carolina ,2004,2,16.8, South Carolina 20042
Total consumption , petroleum coke , South Carolina ,2004,1,3, South Carolina 20041
Total consumption , petroleum coke , South Carolina ,2003,12,1.3, South Carolina 200312
Total consumption , petroleum coke , South Carolina ,2003,11,5.3, South Carolina 200311
Total consumption , petroleum coke , South Carolina ,2003,10,4, South Carolina 200310
Total consumption , petroleum coke , South Carolina ,2003,9,0, South Carolina 20039
Total consumption , petroleum coke , South Carolina ,2003,8,0, South Carolina 20038
Total consumption , petroleum coke , South Carolina ,2003,7,0, South Carolina 20037
Total consumption , petroleum coke , South Carolina ,2003,6,0, South Carolina 20036
Total consumption , petroleum coke , South Carolina ,2003,5,0, South Carolina 20035
Total consumption , petroleum coke , South Carolina ,2003,4,0, South Carolina 20034
Total consumption , petroleum coke , South Carolina ,2003,3,0, South Carolina 20033
Total consumption , petroleum coke , South Carolina ,2003,2,5.3, South Carolina 20032
Total consumption , petroleum coke , South Carolina ,2003,1,0, South Carolina 20031
Total consumption , petroleum coke , Texas ,2017,7,0, Texas 20177
Total consumption , petroleum coke , Texas ,2017,6,0, Texas 20176
Total consumption , petroleum coke , Texas ,2017,5,0, Texas 20175
Total consumption , petroleum coke , Texas ,2017,4,0, Texas 20174
Total consumption , petroleum coke , Texas ,2017,3,0, Texas 20173
Total consumption , petroleum coke , Texas ,2017,2,0, Texas 20172
Total consumption , petroleum coke , Texas ,2017,1,0, Texas 20171
Total consumption , petroleum coke , Texas ,2016,12,0, Texas 201612
Total consumption , petroleum coke , Texas ,2016,11,0, Texas 201611
Total consumption , petroleum coke , Texas ,2016,10,0, Texas 201610
Total consumption , petroleum coke , Texas ,2016,9,0, Texas 20169
Total consumption , petroleum coke , Texas ,2016,8,0, Texas 20168
Total consumption , petroleum coke , Texas ,2016,7,0, Texas 20167
Total consumption , petroleum coke , Texas ,2016,6,0, Texas 20166
Total consumption , petroleum coke , Texas ,2016,5,0, Texas 20165
Total consumption , petroleum coke , Texas ,2016,4,0, Texas 20164
Total consumption , petroleum coke , Texas ,2016,3,0, Texas 20163
Total consumption , petroleum coke , Texas ,2016,2,0, Texas 20162
Total consumption , petroleum coke , Texas ,2016,1,0, Texas 20161
Total consumption , petroleum coke , Texas ,2015,12,0, Texas 201512
Total consumption , petroleum coke , Texas ,2015,11,0, Texas 201511
Total consumption , petroleum coke , Texas ,2015,10,0, Texas 201510
Total consumption , petroleum coke , Texas ,2015,9,0, Texas 20159
Total consumption , petroleum coke , Texas ,2015,8,0, Texas 20158
Total consumption , petroleum coke , Texas ,2015,7,0, Texas 20157
Total consumption , petroleum coke , Texas ,2015,6,0, Texas 20156
Total consumption , petroleum coke , Texas ,2015,5,0, Texas 20155
Total consumption , petroleum coke , Texas ,2015,4,0, Texas 20154
Total consumption , petroleum coke , Texas ,2015,3,0, Texas 20153
Total consumption , petroleum coke , Texas ,2015,2,0, Texas 20152
Total consumption , petroleum coke , Texas ,2015,1,0, Texas 20151
Total consumption , petroleum coke , Texas ,2014,12,0, Texas 201412
Total consumption , petroleum coke , Texas ,2014,11,0, Texas 201411
Total consumption , petroleum coke , Texas ,2014,10,0, Texas 201410
Total consumption , petroleum coke , Texas ,2014,9,0, Texas 20149
Total consumption , petroleum coke , Texas ,2014,8,0, Texas 20148
Total consumption , petroleum coke , Texas ,2014,7,0, Texas 20147
Total consumption , petroleum coke , Texas ,2014,6,0, Texas 20146
Total consumption , petroleum coke , Texas ,2014,5,0, Texas 20145
Total consumption , petroleum coke , Texas ,2014,4,0, Texas 20144
Total consumption , petroleum coke , Texas ,2014,3,0, Texas 20143
Total consumption , petroleum coke , Texas ,2014,2,0, Texas 20142
Total consumption , petroleum coke , Texas ,2014,1,0, Texas 20141
Total consumption , petroleum coke , Texas ,2013,12,1.426, Texas 201312
Total consumption , petroleum coke , Texas ,2013,11,0.221, Texas 201311
Total consumption , petroleum coke , Texas ,2013,10,0, Texas 201310
Total consumption , petroleum coke , Texas ,2013,9,0, Texas 20139
Total consumption , petroleum coke , Texas ,2013,8,30.551, Texas 20138
Total consumption , petroleum coke , Texas ,2013,7,9.012, Texas 20137
Total consumption , petroleum coke , Texas ,2013,6,5.35, Texas 20136
Total consumption , petroleum coke , Texas ,2013,5,0, Texas 20135
Total consumption , petroleum coke , Texas ,2013,4,0, Texas 20134
Total consumption , petroleum coke , Texas ,2013,3,0, Texas 20133
Total consumption , petroleum coke , Texas ,2013,2,0, Texas 20132
Total consumption , petroleum coke , Texas ,2013,1,0, Texas 20131
Total consumption , petroleum coke , Texas ,2012,12,0, Texas 201212
Total consumption , petroleum coke , Texas ,2012,11,0, Texas 201211
Total consumption , petroleum coke , Texas ,2012,10,0, Texas 201210
Total consumption , petroleum coke , Texas ,2012,9,0, Texas 20129
Total consumption , petroleum coke , Texas ,2012,8,20.929, Texas 20128
Total consumption , petroleum coke , Texas ,2012,7,1.984, Texas 20127
Total consumption , petroleum coke , Texas ,2012,6,2.225, Texas 20126
Total consumption , petroleum coke , Texas ,2012,5,0, Texas 20125
Total consumption , petroleum coke , Texas ,2012,4,0, Texas 20124
Total consumption , petroleum coke , Texas ,2012,3,0, Texas 20123
Total consumption , petroleum coke , Texas ,2012,2,0, Texas 20122
Total consumption , petroleum coke , Texas ,2012,1,0, Texas 20121
Total consumption , petroleum coke , Texas ,2011,12,null, Texas 201112
Total consumption , petroleum coke , Texas ,2011,11,null, Texas 201111
Total consumption , petroleum coke , Texas ,2011,10,null, Texas 201110
Total consumption , petroleum coke , Texas ,2011,9,15.771, Texas 20119
Total consumption , petroleum coke , Texas ,2011,8,16.834, Texas 20118
Total consumption , petroleum coke , Texas ,2011,7,29.817, Texas 20117
Total consumption , petroleum coke , Texas ,2011,6,21.015, Texas 20116
Total consumption , petroleum coke , Texas ,2011,5,12.92, Texas 20115
Total consumption , petroleum coke , Texas ,2011,4,9.434, Texas 20114
Total consumption , petroleum coke , Texas ,2011,3,24.085, Texas 20113
Total consumption , petroleum coke , Texas ,2011,2,27.832, Texas 20112
Total consumption , petroleum coke , Texas ,2011,1,41.755, Texas 20111
Total consumption , petroleum coke , Texas ,2010,12,3.577, Texas 201012
Total consumption , petroleum coke , Texas ,2010,11,0.558, Texas 201011
Total consumption , petroleum coke , Texas ,2010,10,0, Texas 201010
Total consumption , petroleum coke , Texas ,2010,9,0, Texas 20109
Total consumption , petroleum coke , Texas ,2010,8,30.58, Texas 20108
Total consumption , petroleum coke , Texas ,2010,7,28.518, Texas 20107
Total consumption , petroleum coke , Texas ,2010,6,38.788, Texas 20106
Total consumption , petroleum coke , Texas ,2010,5,20.154, Texas 20105
Total consumption , petroleum coke , Texas ,2010,4,0, Texas 20104
Total consumption , petroleum coke , Texas ,2010,3,11.771, Texas 20103
Total consumption , petroleum coke , Texas ,2010,2,17.378, Texas 20102
Total consumption , petroleum coke , Texas ,2010,1,37.461, Texas 20101
Total consumption , petroleum coke , Texas ,2009,12,42.642, Texas 200912
Total consumption , petroleum coke , Texas ,2009,11,30.418, Texas 200911
Total consumption , petroleum coke , Texas ,2009,10,37.268, Texas 200910
Total consumption , petroleum coke , Texas ,2009,9,45.611, Texas 20099
Total consumption , petroleum coke , Texas ,2009,8,55.961, Texas 20098
Total consumption , petroleum coke , Texas ,2009,7,51.822, Texas 20097
Total consumption , petroleum coke , Texas ,2009,6,53.312, Texas 20096
Total consumption , petroleum coke , Texas ,2009,5,39.102, Texas 20095
Total consumption , petroleum coke , Texas ,2009,4,41.348, Texas 20094
Total consumption , petroleum coke , Texas ,2009,3,44.724, Texas 20093
Total consumption , petroleum coke , Texas ,2009,2,40.182, Texas 20092
Total consumption , petroleum coke , Texas ,2009,1,27.546, Texas 20091
Total consumption , petroleum coke , Texas ,2008,12,10.584, Texas 200812
Total consumption , petroleum coke , Texas ,2008,11,0, Texas 200811
Total consumption , petroleum coke , Texas ,2008,10,26.81, Texas 200810
Total consumption , petroleum coke , Texas ,2008,9,26.489, Texas 20089
Total consumption , petroleum coke , Texas ,2008,8,44.39, Texas 20088
Total consumption , petroleum coke , Texas ,2008,7,34.949, Texas 20087
Total consumption , petroleum coke , Texas ,2008,6,38.848, Texas 20086
Total consumption , petroleum coke , Texas ,2008,5,46.297, Texas 20085
Total consumption , petroleum coke , Texas ,2008,4,45.429, Texas 20084
Total consumption , petroleum coke , Texas ,2008,3,21.818, Texas 20083
Total consumption , petroleum coke , Texas ,2008,2,30.331, Texas 20082
Total consumption , petroleum coke , Texas ,2008,1,42.921, Texas 20081
Total consumption , petroleum coke , Texas ,2007,12,45.409, Texas 200712
Total consumption , petroleum coke , Texas ,2007,11,33.045, Texas 200711
Total consumption , petroleum coke , Texas ,2007,10,37.659, Texas 200710
Total consumption , petroleum coke , Texas ,2007,9,39.559, Texas 20079
Total consumption , petroleum coke , Texas ,2007,8,41.926, Texas 20078
Total consumption , petroleum coke , Texas ,2007,7,32.282, Texas 20077
Total consumption , petroleum coke , Texas ,2007,6,43.667, Texas 20076
Total consumption , petroleum coke , Texas ,2007,5,39.391, Texas 20075
Total consumption , petroleum coke , Texas ,2007,4,44.538, Texas 20074
Total consumption , petroleum coke , Texas ,2007,3,4.306, Texas 20073
Total consumption , petroleum coke , Texas ,2007,2,5.791, Texas 20072
Total consumption , petroleum coke , Texas ,2007,1,45.982, Texas 20071
Total consumption , petroleum coke , Texas ,2006,12,48.05, Texas 200612
Total consumption , petroleum coke , Texas ,2006,11,44.628, Texas 200611
Total consumption , petroleum coke , Texas ,2006,10,37.093, Texas 200610
Total consumption , petroleum coke , Texas ,2006,9,52.072, Texas 20069
Total consumption , petroleum coke , Texas ,2006,8,54.717, Texas 20068
Total consumption , petroleum coke , Texas ,2006,7,49.522, Texas 20067
Total consumption , petroleum coke , Texas ,2006,6,55.691, Texas 20066
Total consumption , petroleum coke , Texas ,2006,5,56.978, Texas 20065
Total consumption , petroleum coke , Texas ,2006,4,46.863, Texas 20064
Total consumption , petroleum coke , Texas ,2006,3,45.02, Texas 20063
Total consumption , petroleum coke , Texas ,2006,2,40.35, Texas 20062
Total consumption , petroleum coke , Texas ,2006,1,54.235, Texas 20061
Total consumption , petroleum coke , Texas ,2005,12,66.954, Texas 200512
Total consumption , petroleum coke , Texas ,2005,11,46.14, Texas 200511
Total consumption , petroleum coke , Texas ,2005,10,52.418, Texas 200510
Total consumption , petroleum coke , Texas ,2005,9,50.161, Texas 20059
Total consumption , petroleum coke , Texas ,2005,8,51.25, Texas 20058
Total consumption , petroleum coke , Texas ,2005,7,41.516, Texas 20057
Total consumption , petroleum coke , Texas ,2005,6,39.265, Texas 20056
Total consumption , petroleum coke , Texas ,2005,5,46.328, Texas 20055
Total consumption , petroleum coke , Texas ,2005,4,27.715, Texas 20054
Total consumption , petroleum coke , Texas ,2005,3,43.813, Texas 20053
Total consumption , petroleum coke , Texas ,2005,2,35.43, Texas 20052
Total consumption , petroleum coke , Texas ,2005,1,44.117, Texas 20051
Total consumption , petroleum coke , Texas ,2004,12,44.719, Texas 200412
Total consumption , petroleum coke , Texas ,2004,11,36.975, Texas 200411
Total consumption , petroleum coke , Texas ,2004,10,44.309, Texas 200410
Total consumption , petroleum coke , Texas ,2004,9,46.05, Texas 20049
Total consumption , petroleum coke , Texas ,2004,8,48.248, Texas 20048
Total consumption , petroleum coke , Texas ,2004,7,44.859, Texas 20047
Total consumption , petroleum coke , Texas ,2004,6,43.871, Texas 20046
Total consumption , petroleum coke , Texas ,2004,5,47.296, Texas 20045
Total consumption , petroleum coke , Texas ,2004,4,46.975, Texas 20044
Total consumption , petroleum coke , Texas ,2004,3,42.539, Texas 20043
Total consumption , petroleum coke , Texas ,2004,2,33.099, Texas 20042
Total consumption , petroleum coke , Texas ,2004,1,46.643, Texas 20041
Total consumption , petroleum coke , Texas ,2003,12,42.061, Texas 200312
Total consumption , petroleum coke , Texas ,2003,11,42.895, Texas 200311
Total consumption , petroleum coke , Texas ,2003,10,28.461, Texas 200310
Total consumption , petroleum coke , Texas ,2003,9,41.484, Texas 20039
Total consumption , petroleum coke , Texas ,2003,8,17.401, Texas 20038
Total consumption , petroleum coke , Texas ,2003,7,0, Texas 20037
Total consumption , petroleum coke , Texas ,2003,6,0, Texas 20036
Total consumption , petroleum coke , Texas ,2003,5,0, Texas 20035
Total consumption , petroleum coke , Texas ,2003,4,3.865, Texas 20034
Total consumption , petroleum coke , Texas ,2003,3,19.141, Texas 20033
Total consumption , petroleum coke , Texas ,2003,2,12.915, Texas 20032
Total consumption , petroleum coke , Texas ,2003,1,44.67, Texas 20031
Total consumption , petroleum coke , Texas ,2002,12,51.539, Texas 200212
Total consumption , petroleum coke , Texas ,2002,11,49.974, Texas 200211
Total consumption , petroleum coke , Texas ,2002,10,35.503, Texas 200210
Total consumption , petroleum coke , Texas ,2002,9,52.245, Texas 20029
Total consumption , petroleum coke , Texas ,2002,8,53.409, Texas 20028
Total consumption , petroleum coke , Texas ,2002,7,42.706, Texas 20027
Total consumption , petroleum coke , Texas ,2002,6,50.019, Texas 20026
Total consumption , petroleum coke , Texas ,2002,5,51.031, Texas 20025
Total consumption , petroleum coke , Texas ,2002,4,48.686, Texas 20024
Total consumption , petroleum coke , Texas ,2002,3,39.424, Texas 20023
Total consumption , petroleum coke , Texas ,2002,2,48.307, Texas 20022
Total consumption , petroleum coke , Texas ,2002,1,56.994, Texas 20021
Total consumption , petroleum coke , Texas ,2001,12,34.11, Texas 200112
Total consumption , petroleum coke , Texas ,2001,11,0, Texas 200111
Total consumption , petroleum coke , Texas ,2001,10,0, Texas 200110
Total consumption , petroleum coke , Texas ,2001,9,46.53, Texas 20019
Total consumption , petroleum coke , Texas ,2001,8,40.55, Texas 20018
Total consumption , petroleum coke , Texas ,2001,7,45.4, Texas 20017
Total consumption , petroleum coke , Texas ,2001,6,42.96, Texas 20016
Total consumption , petroleum coke , Texas ,2001,5,46.58, Texas 20015
Total consumption , petroleum coke , Texas ,2001,4,35.25, Texas 20014
Total consumption , petroleum coke , Texas ,2001,3,48.647, Texas 20013
Total consumption , petroleum coke , Texas ,2001,2,32.93, Texas 20012
Total consumption , petroleum coke , Texas ,2001,1,37.28, Texas 20011
Total consumption , petroleum coke , United States ,2017,7,323.914, United States 20177
Total consumption , petroleum coke , United States ,2017,6,334.062, United States 20176
Total consumption , petroleum coke , United States ,2017,5,315.631, United States 20175
Total consumption , petroleum coke , United States ,2017,4,152.024, United States 20174
Total consumption , petroleum coke , United States ,2017,3,267.347, United States 20173
Total consumption , petroleum coke , United States ,2017,2,262.437, United States 20172
Total consumption , petroleum coke , United States ,2017,1,353.93, United States 20171
Total consumption , petroleum coke , United States ,2016,12,326.303, United States 201612
Total consumption , petroleum coke , United States ,2016,11,295.277, United States 201611
Total consumption , petroleum coke , United States ,2016,10,243.588, United States 201610
Total consumption , petroleum coke , United States ,2016,9,370.143, United States 20169
Total consumption , petroleum coke , United States ,2016,8,408.307, United States 20168
Total consumption , petroleum coke , United States ,2016,7,389.396, United States 20167
Total consumption , petroleum coke , United States ,2016,6,368.301, United States 20166
Total consumption , petroleum coke , United States ,2016,5,354.459, United States 20165
Total consumption , petroleum coke , United States ,2016,4,375.50063, United States 20164
Total consumption , petroleum coke , United States ,2016,3,356.59978, United States 20163
Total consumption , petroleum coke , United States ,2016,2,320.72917, United States 20162
Total consumption , petroleum coke , United States ,2016,1,328.78909, United States 20161
Total consumption , petroleum coke , United States ,2015,12,268.40508, United States 201512
Total consumption , petroleum coke , United States ,2015,11,252.24503, United States 201511
Total consumption , petroleum coke , United States ,2015,10,292.3829, United States 201510
Total consumption , petroleum coke , United States ,2015,9,363.49339, United States 20159
Total consumption , petroleum coke , United States ,2015,8,378.36745, United States 20158
Total consumption , petroleum coke , United States ,2015,7,401.63145, United States 20157
Total consumption , petroleum coke , United States ,2015,6,298.34079, United States 20156
Total consumption , petroleum coke , United States ,2015,5,329.99262, United States 20155
Total consumption , petroleum coke , United States ,2015,4,281.373, United States 20154
Total consumption , petroleum coke , United States ,2015,3,264.284, United States 20153
Total consumption , petroleum coke , United States ,2015,2,397.21275, United States 20152
Total consumption , petroleum coke , United States ,2015,1,379.10976, United States 20151
Total consumption , petroleum coke , United States ,2014,12,404.36633, United States 201412
Total consumption , petroleum coke , United States ,2014,11,270.71441, United States 201411
Total consumption , petroleum coke , United States ,2014,10,210.52936, United States 201410
Total consumption , petroleum coke , United States ,2014,9,351.76741, United States 20149
Total consumption , petroleum coke , United States ,2014,8,357.70746, United States 20148
Total consumption , petroleum coke , United States ,2014,7,356.79384, United States 20147
Total consumption , petroleum coke , United States ,2014,6,385.27227, United States 20146
Total consumption , petroleum coke , United States ,2014,5,370.84167, United States 20145
Total consumption , petroleum coke , United States ,2014,4,275.78212, United States 20144
Total consumption , petroleum coke , United States ,2014,3,397.32729, United States 20143
Total consumption , petroleum coke , United States ,2014,2,338.75888, United States 20142
Total consumption , petroleum coke , United States ,2014,1,412.16845, United States 20141
Total consumption , petroleum coke , United States ,2013,12,350.4879, United States 201312
Total consumption , petroleum coke , United States ,2013,11,285.37823, United States 201311
Total consumption , petroleum coke , United States ,2013,10,362.309, United States 201310
Total consumption , petroleum coke , United States ,2013,9,392.40834, United States 20139
Total consumption , petroleum coke , United States ,2013,8,433.60911, United States 20138
Total consumption , petroleum coke , United States ,2013,7,417.56202, United States 20137
Total consumption , petroleum coke , United States ,2013,6,415.65481, United States 20136
Total consumption , petroleum coke , United States ,2013,5,408.83072, United States 20135
Total consumption , petroleum coke , United States ,2013,4,288.08521, United States 20134
Total consumption , petroleum coke , United States ,2013,3,312.2752, United States 20133
Total consumption , petroleum coke , United States ,2013,2,288.97451, United States 20132
Total consumption , petroleum coke , United States ,2013,1,329.0079, United States 20131
Total consumption , petroleum coke , United States ,2012,12,235.85142, United States 201212
Total consumption , petroleum coke , United States ,2012,11,238.079, United States 201211
Total consumption , petroleum coke , United States ,2012,10,228.582, United States 201210
Total consumption , petroleum coke , United States ,2012,9,250.31997, United States 20129
Total consumption , petroleum coke , United States ,2012,8,266.89936, United States 20128
Total consumption , petroleum coke , United States ,2012,7,253.39857, United States 20127
Total consumption , petroleum coke , United States ,2012,6,227.92673, United States 20126
Total consumption , petroleum coke , United States ,2012,5,211.21117, United States 20125
Total consumption , petroleum coke , United States ,2012,4,165.915, United States 20124
Total consumption , petroleum coke , United States ,2012,3,178.405, United States 20123
Total consumption , petroleum coke , United States ,2012,2,317.56802, United States 20122
Total consumption , petroleum coke , United States ,2012,1,400.28171, United States 20121
Total consumption , petroleum coke , United States ,2011,12,349.76106, United States 201112
Total consumption , petroleum coke , United States ,2011,11,240.654, United States 201111
Total consumption , petroleum coke , United States ,2011,10,319.39034, United States 201110
Total consumption , petroleum coke , United States ,2011,9,438.75751, United States 20119
Total consumption , petroleum coke , United States ,2011,8,450.82421, United States 20118
Total consumption , petroleum coke , United States ,2011,7,501.42478, United States 20117
Total consumption , petroleum coke , United States ,2011,6,418.69781, United States 20116
Total consumption , petroleum coke , United States ,2011,5,343.67149, United States 20115
Total consumption , petroleum coke , United States ,2011,4,321.45271, United States 20114
Total consumption , petroleum coke , United States ,2011,3,505.94546, United States 20113
Total consumption , petroleum coke , United States ,2011,2,417.35262, United States 20112
Total consumption , petroleum coke , United States ,2011,1,529.29206, United States 20111
Total consumption , petroleum coke , United States ,2010,12,391.335, United States 201012
Total consumption , petroleum coke , United States ,2010,11,301.32, United States 201011
Total consumption , petroleum coke , United States ,2010,10,345.614, United States 201010
Total consumption , petroleum coke , United States ,2010,9,372.4, United States 20109
Total consumption , petroleum coke , United States ,2010,8,393.676, United States 20108
Total consumption , petroleum coke , United States ,2010,7,503.476, United States 20107
Total consumption , petroleum coke , United States ,2010,6,470.844, United States 20106
Total consumption , petroleum coke , United States ,2010,5,399.711, United States 20105
Total consumption , petroleum coke , United States ,2010,4,369.149, United States 20104
Total consumption , petroleum coke , United States ,2010,3,426.847, United States 20103
Total consumption , petroleum coke , United States ,2010,2,389.032, United States 20102
Total consumption , petroleum coke , United States ,2010,1,413.463, United States 20101
Total consumption , petroleum coke , United States ,2009,12,336.172, United States 200912
Total consumption , petroleum coke , United States ,2009,11,252.352, United States 200911
Total consumption , petroleum coke , United States ,2009,10,256.081, United States 200910
Total consumption , petroleum coke , United States ,2009,9,416.421, United States 20099
Total consumption , petroleum coke , United States ,2009,8,419.427, United States 20098
Total consumption , petroleum coke , United States ,2009,7,433.673, United States 20097
Total consumption , petroleum coke , United States ,2009,6,417.643, United States 20096
Total consumption , petroleum coke , United States ,2009,5,417.609, United States 20095
Total consumption , petroleum coke , United States ,2009,4,413.757, United States 20094
Total consumption , petroleum coke , United States ,2009,3,464.328, United States 20093
Total consumption , petroleum coke , United States ,2009,2,373.56, United States 20092
Total consumption , petroleum coke , United States ,2009,1,409.636, United States 20091
Total consumption , petroleum coke , United States ,2008,12,406.878, United States 200812
Total consumption , petroleum coke , United States ,2008,11,404.68, United States 200811
Total consumption , petroleum coke , United States ,2008,10,443.949, United States 200810
Total consumption , petroleum coke , United States ,2008,9,420.616, United States 20089
Total consumption , petroleum coke , United States ,2008,8,444.936, United States 20088
Total consumption , petroleum coke , United States ,2008,7,423.884, United States 20087
Total consumption , petroleum coke , United States ,2008,6,471.778, United States 20086
Total consumption , petroleum coke , United States ,2008,5,385.354, United States 20085
Total consumption , petroleum coke , United States ,2008,4,408.54, United States 20084
Total consumption , petroleum coke , United States ,2008,3,374.185, United States 20083
Total consumption , petroleum coke , United States ,2008,2,449.017, United States 20082
Total consumption , petroleum coke , United States ,2008,1,485.643, United States 20081
Total consumption , petroleum coke , United States ,2007,12,496.496, United States 200712
Total consumption , petroleum coke , United States ,2007,11,397.799, United States 200711
Total consumption , petroleum coke , United States ,2007,10,420.821, United States 200710
Total consumption , petroleum coke , United States ,2007,9,470.68, United States 20079
Total consumption , petroleum coke , United States ,2007,8,505.044, United States 20078
Total consumption , petroleum coke , United States ,2007,7,486.264, United States 20077
Total consumption , petroleum coke , United States ,2007,6,547.243, United States 20076
Total consumption , petroleum coke , United States ,2007,5,474.45, United States 20075
Total consumption , petroleum coke , United States ,2007,4,437.048, United States 20074
Total consumption , petroleum coke , United States ,2007,3,447.544, United States 20073
Total consumption , petroleum coke , United States ,2007,2,442.12, United States 20072
Total consumption , petroleum coke , United States ,2007,1,559.296, United States 20071
Total consumption , petroleum coke , United States ,2006,12,525.20391, United States 200612
Total consumption , petroleum coke , United States ,2006,11,508.52599, United States 200611
Total consumption , petroleum coke , United States ,2006,10,579.92672, United States 200610
Total consumption , petroleum coke , United States ,2006,9,571.88866, United States 20069
Total consumption , petroleum coke , United States ,2006,8,634.23465, United States 20068
Total consumption , petroleum coke , United States ,2006,7,673.11278, United States 20067
Total consumption , petroleum coke , United States ,2006,6,609.6568, United States 20066
Total consumption , petroleum coke , United States ,2006,5,544.75732, United States 20065
Total consumption , petroleum coke , United States ,2006,4,585.2803, United States 20064
Total consumption , petroleum coke , United States ,2006,3,575.70052, United States 20063
Total consumption , petroleum coke , United States ,2006,2,607.46184, United States 20062
Total consumption , petroleum coke , United States ,2006,1,684.91158, United States 20061
Total consumption , petroleum coke , United States ,2005,12,684.77351, United States 200512
Total consumption , petroleum coke , United States ,2005,11,594.2353, United States 200511
Total consumption , petroleum coke , United States ,2005,10,657.84446, United States 200510
Total consumption , petroleum coke , United States ,2005,9,657.5894, United States 20059
Total consumption , petroleum coke , United States ,2005,8,756.83976, United States 20058
Total consumption , petroleum coke , United States ,2005,7,716.28095, United States 20057
Total consumption , petroleum coke , United States ,2005,6,729.58422, United States 20056
Total consumption , petroleum coke , United States ,2005,5,687.95953, United States 20055
Total consumption , petroleum coke , United States ,2005,4,609.09677, United States 20054
Total consumption , petroleum coke , United States ,2005,3,666.65147, United States 20053
Total consumption , petroleum coke , United States ,2005,2,635.21024, United States 20052
Total consumption , petroleum coke , United States ,2005,1,686.89302, United States 20051
Total consumption , petroleum coke , United States ,2004,12,631.40405, United States 200412
Total consumption , petroleum coke , United States ,2004,11,564.5682, United States 200411
Total consumption , petroleum coke , United States ,2004,10,632.04914, United States 200410
Total consumption , petroleum coke , United States ,2004,9,579.17366, United States 20049
Total consumption , petroleum coke , United States ,2004,8,680.40919, United States 20048
Total consumption , petroleum coke , United States ,2004,7,618.31802, United States 20047
Total consumption , petroleum coke , United States ,2004,6,586.88193, United States 20046
Total consumption , petroleum coke , United States ,2004,5,623.22682, United States 20045
Total consumption , petroleum coke , United States ,2004,4,590.02662, United States 20044
Total consumption , petroleum coke , United States ,2004,3,593.3726, United States 20043
Total consumption , petroleum coke , United States ,2004,2,588.30807, United States 20042
Total consumption , petroleum coke , United States ,2004,1,684.55868, United States 20041
Total consumption , petroleum coke , United States ,2003,12,576.383, United States 200312
Total consumption , petroleum coke , United States ,2003,11,570.149, United States 200311
Total consumption , petroleum coke , United States ,2003,10,566.157, United States 200310
Total consumption , petroleum coke , United States ,2003,9,554.112, United States 20039
Total consumption , petroleum coke , United States ,2003,8,570.477, United States 20038
Total consumption , petroleum coke , United States ,2003,7,574.837, United States 20037
Total consumption , petroleum coke , United States ,2003,6,499.121, United States 20036
Total consumption , petroleum coke , United States ,2003,5,416.072, United States 20035
Total consumption , petroleum coke , United States ,2003,4,439.434, United States 20034
Total consumption , petroleum coke , United States ,2003,3,295.505, United States 20033
Total consumption , petroleum coke , United States ,2003,2,353.428, United States 20032
Total consumption , petroleum coke , United States ,2003,1,383.352, United States 20031
Total consumption , petroleum coke , United States ,2002,12,463.807, United States 200212
Total consumption , petroleum coke , United States ,2002,11,412.381, United States 200211
Total consumption , petroleum coke , United States ,2002,10,430.022, United States 200210
Total consumption , petroleum coke , United States ,2002,9,511.199, United States 20029
Total consumption , petroleum coke , United States ,2002,8,561.571, United States 20028
Total consumption , petroleum coke , United States ,2002,7,499.533, United States 20027
Total consumption , petroleum coke , United States ,2002,6,563.822, United States 20026
Total consumption , petroleum coke , United States ,2002,5,523.41, United States 20025
Total consumption , petroleum coke , United States ,2002,4,463.702, United States 20024
Total consumption , petroleum coke , United States ,2002,3,486.449, United States 20023
Total consumption , petroleum coke , United States ,2002,2,459.027, United States 20022
Total consumption , petroleum coke , United States ,2002,1,441.028, United States 20021
Total consumption , petroleum coke , United States ,2001,12,339.31, United States 200112
Total consumption , petroleum coke , United States ,2001,11,261.95, United States 200111
Total consumption , petroleum coke , United States ,2001,10,297.561, United States 200110
Total consumption , petroleum coke , United States ,2001,9,308.87, United States 20019
Total consumption , petroleum coke , United States ,2001,8,336.521, United States 20018
Total consumption , petroleum coke , United States ,2001,7,323.006, United States 20017
Total consumption , petroleum coke , United States ,2001,6,273.985, United States 20016
Total consumption , petroleum coke , United States ,2001,5,243.321, United States 20015
Total consumption , petroleum coke , United States ,2001,4,213.032, United States 20014
Total consumption , petroleum coke , United States ,2001,3,264.436, United States 20013
