Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , East North Central (total) ,2014,5,113.30067, East North Central (total) 20145
Total consumption , petroleum coke , East North Central (total) ,2014,4,98.19512, East North Central (total) 20144
Total consumption , petroleum coke , East North Central (total) ,2014,3,117.39029, East North Central (total) 20143
Total consumption , petroleum coke , East North Central (total) ,2014,2,76.38388, East North Central (total) 20142
Total consumption , petroleum coke , East North Central (total) ,2014,1,97.97345, East North Central (total) 20141
Total consumption , petroleum coke , East North Central (total) ,2013,12,139.5089, East North Central (total) 201312
Total consumption , petroleum coke , East North Central (total) ,2013,11,110.11323, East North Central (total) 201311
Total consumption , petroleum coke , East North Central (total) ,2013,10,69.788, East North Central (total) 201310
Total consumption , petroleum coke , East North Central (total) ,2013,9,66.14334, East North Central (total) 20139
Total consumption , petroleum coke , East North Central (total) ,2013,8,92.56411, East North Central (total) 20138
Total consumption , petroleum coke , East North Central (total) ,2013,7,91.42502, East North Central (total) 20137
Total consumption , petroleum coke , East North Central (total) ,2013,6,77.57981, East North Central (total) 20136
Total consumption , petroleum coke , East North Central (total) ,2013,5,67.30172, East North Central (total) 20135
Total consumption , petroleum coke , East North Central (total) ,2013,4,50.09621, East North Central (total) 20134
Total consumption , petroleum coke , East North Central (total) ,2013,3,89.2002, East North Central (total) 20133
Total consumption , petroleum coke , East North Central (total) ,2013,2,78.09151, East North Central (total) 20132
Total consumption , petroleum coke , East North Central (total) ,2013,1,87.4159, East North Central (total) 20131
Total consumption , petroleum coke , East North Central (total) ,2012,12,39.20542, East North Central (total) 201212
Total consumption , petroleum coke , East North Central (total) ,2012,11,37.812, East North Central (total) 201211
Total consumption , petroleum coke , East North Central (total) ,2012,10,45.709, East North Central (total) 201210
Total consumption , petroleum coke , East North Central (total) ,2012,9,77.30597, East North Central (total) 20129
Total consumption , petroleum coke , East North Central (total) ,2012,8,86.39336, East North Central (total) 20128
Total consumption , petroleum coke , East North Central (total) ,2012,7,61.66957, East North Central (total) 20127
Total consumption , petroleum coke , East North Central (total) ,2012,6,86.45673, East North Central (total) 20126
Total consumption , petroleum coke , East North Central (total) ,2012,5,44.01317, East North Central (total) 20125
Total consumption , petroleum coke , East North Central (total) ,2012,4,24.944, East North Central (total) 20124
Total consumption , petroleum coke , East North Central (total) ,2012,3,45.34, East North Central (total) 20123
Total consumption , petroleum coke , East North Central (total) ,2012,2,92.26602, East North Central (total) 20122
Total consumption , petroleum coke , East North Central (total) ,2012,1,98.04171, East North Central (total) 20121
Total consumption , petroleum coke , East North Central (total) ,2011,12,62.51106, East North Central (total) 201112
Total consumption , petroleum coke , East North Central (total) ,2011,11,43.999, East North Central (total) 201111
Total consumption , petroleum coke , East North Central (total) ,2011,10,49.07034, East North Central (total) 201110
Total consumption , petroleum coke , East North Central (total) ,2011,9,83.42651, East North Central (total) 20119
Total consumption , petroleum coke , East North Central (total) ,2011,8,85.21221, East North Central (total) 20118
Total consumption , petroleum coke , East North Central (total) ,2011,7,76.98878, East North Central (total) 20117
Total consumption , petroleum coke , East North Central (total) ,2011,6,82.42381, East North Central (total) 20116
Total consumption , petroleum coke , East North Central (total) ,2011,5,81.13349, East North Central (total) 20115
Total consumption , petroleum coke , East North Central (total) ,2011,4,72.99971, East North Central (total) 20114
Total consumption , petroleum coke , East North Central (total) ,2011,3,81.78646, East North Central (total) 20113
Total consumption , petroleum coke , East North Central (total) ,2011,2,88.51362, East North Central (total) 20112
Total consumption , petroleum coke , East North Central (total) ,2011,1,66.39606, East North Central (total) 20111
Total consumption , petroleum coke , East North Central (total) ,2010,12,56.283, East North Central (total) 201012
Total consumption , petroleum coke , East North Central (total) ,2010,11,50.666, East North Central (total) 201011
Total consumption , petroleum coke , East North Central (total) ,2010,10,50.427, East North Central (total) 201010
Total consumption , petroleum coke , East North Central (total) ,2010,9,51.566, East North Central (total) 20109
Total consumption , petroleum coke , East North Central (total) ,2010,8,54.198, East North Central (total) 20108
Total consumption , petroleum coke , East North Central (total) ,2010,7,60.414, East North Central (total) 20107
Total consumption , petroleum coke , East North Central (total) ,2010,6,56.882, East North Central (total) 20106
Total consumption , petroleum coke , East North Central (total) ,2010,5,55.805, East North Central (total) 20105
Total consumption , petroleum coke , East North Central (total) ,2010,4,47.631, East North Central (total) 20104
Total consumption , petroleum coke , East North Central (total) ,2010,3,39.32, East North Central (total) 20103
Total consumption , petroleum coke , East North Central (total) ,2010,2,55.59, East North Central (total) 20102
Total consumption , petroleum coke , East North Central (total) ,2010,1,50.433, East North Central (total) 20101
Total consumption , petroleum coke , East North Central (total) ,2009,12,54.179, East North Central (total) 200912
Total consumption , petroleum coke , East North Central (total) ,2009,11,48.108, East North Central (total) 200911
Total consumption , petroleum coke , East North Central (total) ,2009,10,44.97, East North Central (total) 200910
Total consumption , petroleum coke , East North Central (total) ,2009,9,49.409, East North Central (total) 20099
