157,Aventus,AVT,"$18,263,160 ",$3.04 ,"6,000,000 *","$2,710,390 ",-1.78%,-9.05%,9.49%
158,Rialto,XRL,"$18,196,630 ",$0.21 ,"85,000,000 *","$63,075 ",4.11%,-1.14%,-29.67%
159,Pepe Cash,PEPECASH,"$18,167,846 ",$0.03 ,"701,884,009 *","$72,577 ",0.16%,-8.20%,124.25%
160,Safe Exchange...,SAFEX,"$17,779,060 ",$0.01 ,"2,147,483,647 *","$131,337 ",-0.63%,-4.59%,-12.37%
161,Namecoin,NMC,"$17,161,275 ",$1.16 ,"14,736,400","$125,296 ",-0.25%,-3.35%,-11.61%
162,adToken,ADT,"$17,121,900 ",$0.03 ,"600,000,000 *","$52,532 ",-0.59%,-9.96%,-15.18%
163,Voise,VOISE,"$16,831,611 ",$0.03 ,"643,012,000 *","$240,488 ",3.16%,5.64%,13.57%
164,LBRY Credits,LBC,"$16,666,653 ",$0.16 ,"104,394,945","$179,721 ",2.18%,-2.61%,-14.16%
165,Stox,STX,"$16,548,265 ",$0.56 ,"29,600,000 *","$528,123 ",0.14%,-6.54%,-32.95%
166,Santiment Net...,SAN,"$16,077,358 ",$0.29 ,"55,967,968 *","$340,132 ",0.80%,-3.43%,-3.27%
167,Viberate,VIB,"$16,062,840 ",$0.13 ,"120,000,000 *","$46,328 ",1.92%,-2.98%,-19.56%
168,Polybius,PLBT,"$15,623,115 ",$4.10 ,"3,808,454 *","$18,984 ",0.79%,7.09%,8.27%
169,ZenCash,ZEN,"$15,212,476 ",$6.82 ,"2,229,310","$166,354 ",-1.19%,-8.84%,11.35%
170,Pillar,PLR,"$14,935,884 ",$0.07 ,"227,384,800 *","$28,585 ",-3.72%,-8.41%,16.88%
171,Omni,OMNI,"$14,874,313 ",$26.56 ,"559,930 *","$789,156 ",6.05%,13.27%,21.89%
172,MonetaryUnit,MUE,"$14,794,908 ",$0.12 ,"126,177,206","$81,532 ",-2.00%,-13.46%,-8.52%
173,SaluS,SLS,"$14,686,472 ",$14.62 ,"1,004,409 *","$21,276 ",0.25%,-15.98%,5.90%
174,E-coin,ECN,"$14,672,197 ",$3.46 ,"4,242,567","$39,233 ",0.18%,-4.90%,-4.51%
175,Peerplays,PPY,"$14,666,553 ",$3.84 ,"3,815,599 *","$1,140 ",0.47%,0.13%,37.46%
176,Po.et,POE,"$14,349,477 ",$0.01 ,"2,136,283,004 *","$30,344 ",0.73%,-7.24%,-32.60%
177,PotCoin,POT,"$14,224,498 ",$0.07 ,"218,260,213","$102,535 ",2.13%,-4.60%,1.14%
178,Chronobank,TIME,"$14,166,893 ",$19.95 ,"710,113 *","$531,674 ",0.16%,-4.79%,8.92%
179,Rivetz,RVT,"$14,030,555 ",$0.53 ,"26,244,468 *","$16,055 ",10.29%,9.23%,-11.72%
180,Energycoin,ENRG,"$13,714,804 ",$0.11 ,"121,304,465","$118,542 ",-2.23%,11.67%,12.86%
181,BlackCoin,BLK,"$13,694,271 ",$0.18 ,"76,430,866 *","$421,330 ",0.71%,-6.93%,-1.22%
182,Numeraire,NMR,"$13,538,425 ",$10.84 ,"1,248,667 *","$50,447 ",1.63%,-3.70%,-17.31%
183,OKCash,OK,"$13,280,046 ",$0.18 ,"73,036,710 *","$701,019 ",0.26%,-0.46%,8.72%
184,GridCoin,GRC,"$13,234,452 ",$0.03 ,"390,312,753","$118,136 ",1.82%,-11.03%,9.90%
185,Expanse,EXP,"$13,233,964 ",$1.67 ,"7,906,397","$93,305 ",0.12%,-3.51%,-7.05%
